game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,Derrick Barnes,BarnDe02,0,1,1,1,7,7,7,0,95.8,3,3,4,3,0,0,0,0,3,1,0.25
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,Will Harris,HarrWi02,0,1,1,1,54,54,54,0,118.7,36,36,18,0,0,0,0,0,2,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,Alex Anzalone,AnzaAl00,0,3,1,0.333,8,8,2.7,0,42.4,1.7,0,8,11,0,0,0,0,9,1,0.1
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,John Cominsky,ComiJo00,0,0,0,,,,,,,,,,0,1,1,0,2,1,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,Chris Board,BoarCh00,0,0,0,,,,,,,,,,1,1,1,0,2,1,1,0.5
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,Aidan Hutchinson,HutcAi00,0,0,0,,,,,,,,,,0,1,0,0,1,1,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,Austin Bryant,BryaAu00,0,0,0,,,,,,,,,,0,1,0,0,1,1,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,Michael Brockers,BrocMi00,0,0,0,,,,,,,,,,0,1,0,0,1,0,0,
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,Tracy Walker,WalkTr01,0,0,0,,,,,,,,,,2,0,0,1,1,13,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,Juju Hughes,HughJu00,0,0,0,,,,,,,,,,1,0,0,0,0,1,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,Isaiah Buggs,BuggIs00,0,0,0,,,,,,,,,,0,0,0,0,0,3,1,0.25
2022_01_PHI_DET,202209110det,2022,1,REG,DET,PHI,DeShon Elliott,ElliDe02,0,1,0,0,,,0,,39.6,-2,,,1,0,0,0,0,6,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,C.J. Gardner-Johnson,GardCh00,0,7,4,0.571,27,6.8,3.9,0,65.8,4.9,18,9,1,0,0,0,0,5,2,0.286
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,Darius Slay,SlayDa00,0,10,3,0.3,68,22.7,6.8,1,88.7,13.3,48,20,0,0,0,0,0,6,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,Avonte Maddox,MaddAv00,0,4,3,0.75,43,14.3,10.8,0,109.4,1.8,2,41,2,0,0,0,0,3,2,0.4
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,Kyzir White,WhitKy00,0,3,2,0.667,2,1,0.7,0,70.1,1.7,-3,5,1,0,0,0,0,5,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,T.J. Edwards,EdwaTJ02,0,2,2,1,9,4.5,4.5,0,85.4,2.5,5,4,1,0,0,0,0,7,2,0.222
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,Marcus Epps,EppsMa00,0,3,2,0.667,30,15,10,1,138.9,6.7,20,10,1,0,0,0,0,10,1,0.091
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,Josh Sweat,SweaJo00,0,1,1,1,7,7,7,0,95.8,4,4,3,0,0,2,0,2,3,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,James Bradberry,BradJa00,1,6,1,0.167,13,13,2.2,0,0,16,5,8,0,0,0,0,0,2,1,0.333
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,Fletcher Cox,CoxxFl00,0,0,0,,,,,,,,,,0,0,1,0.5,2,2,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,Milton Williams,WillMi08,0,0,0,,,,,,,,,,0,1,0,0,1,2,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,Marlon Tuipulotu,TuipMa00,0,0,0,,,,,,,,,,0,0,1,0,1,1,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,Brandon Graham,GrahBr99,0,0,0,,,,,,,,,,0,0,0,0.5,1,1,0,0
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,Javon Hargrave,HargJa00,0,0,0,,,,,,,,,,0,0,0,0,0,2,1,0.333
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,Haason Reddick,ReddHa00,0,1,0,0,,,0,,39.6,5,,,6,0,0,0,0,2,1,0.333
2022_01_PHI_DET,202209110det,2022,1,REG,PHI,DET,Jordan Davis,DaviJo03,0,1,0,0,16,,16,0,79.2,-3,-3,19,0,0,0,0,0,2,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,HOU,IND,Kamu Grugier-Hill,GrugKa00,0,12,9,0.75,99,11,8.3,0,99,4.6,30,69,3,0,1,0,1,18,1,0.053
2022_01_IND_HOU,202209110htx,2022,1,REG,HOU,IND,Derek Stingley Jr.,StinDe00,0,13,8,0.615,105,13.1,8.1,0,87,9,84,21,0,0,0,0,0,7,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,HOU,IND,Steven Nelson,NelsSt01,0,8,4,0.5,64,16,8,1,116.7,14.3,44,20,0,0,0,0,0,5,4,0.444
2022_01_IND_HOU,202209110htx,2022,1,REG,HOU,IND,Jerry Hughes,HughJe99,1,4,3,0.75,34,11.3,8.5,0,60.4,-4.5,-12,46,0,1,1,2,4,3,3,0.5
2022_01_IND_HOU,202209110htx,2022,1,REG,HOU,IND,Christian Kirksey,KirkCh00,0,4,3,0.75,26,8.7,6.5,0,91.7,4,18,8,8,1,1,0,2,9,1,0.1
2022_01_IND_HOU,202209110htx,2022,1,REG,HOU,IND,Desmond King,KingDe01,0,3,2,0.667,8,4,2.7,0,70.1,3.7,6,2,3,0,0,0,0,6,2,0.25
2022_01_IND_HOU,202209110htx,2022,1,REG,HOU,IND,Jalen Pitre,PitrJa00,0,2,2,1,16,8,8,0,100,5,10,6,1,0,0,0,0,10,4,0.286
2022_01_IND_HOU,202209110htx,2022,1,REG,HOU,IND,Ogbonnia Okoronkwo,OkorOg00,0,0,0,,,,,,,,,,0,2,0,0,2,1,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,HOU,IND,Michael Dwumfour,DwumMi00,0,0,0,,,,,,,,,,0,1,1,0,2,1,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,HOU,IND,Demone Harris,HarrDe06,0,0,0,,,,,,,,,,0,1,0,0,1,2,1,0.333
2022_01_IND_HOU,202209110htx,2022,1,REG,HOU,IND,Jonathan Greenard,GreeJo04,0,0,0,,,,,,,,,,0,1,0,0,1,4,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,HOU,IND,Kurt Hinish,HiniKu00,0,1,0,0,,,0,,39.6,0,,,0,0,0,0,0,1,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,HOU,IND,Jonathan Owens,OwenJo01,0,1,0,0,,,0,,39.6,4,,,0,0,0,0,0,15,1,0.063
2022_01_IND_HOU,202209110htx,2022,1,REG,HOU,IND,Kevin Pierre-Louis,PierKe00,0,2,0,0,,,0,,39.6,4,,,0,0,0,0,0,1,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,IND,HOU,Bobby Okereke,OkerBo00,0,8,4,0.5,25,6.3,3.1,0,56.8,1.1,3,22,3,0,0,0,0,7,2,0.222
2022_01_IND_HOU,202209110htx,2022,1,REG,IND,HOU,Kenny Moore,MoorKe03,0,6,4,0.667,32,8,5.3,0,79.9,8.5,22,10,3,0,0,0,0,7,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,IND,HOU,Julian Blackmon,BlacJu01,0,4,4,1,91,22.8,22.8,2,158.3,17.8,71,20,0,0,0,0,0,1,1,0.5
2022_01_IND_HOU,202209110htx,2022,1,REG,IND,HOU,Brandon Facyson,FacyBr00,0,4,3,0.75,31,10.3,7.8,0,96.9,8.8,30,1,0,0,0,0,0,3,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,IND,HOU,Zaire Franklin,FranZa00,0,3,2,0.667,19,9.5,6.3,0,84,3,7,12,5,0,0,0,0,8,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,IND,HOU,Stephon Gilmore,GilmSt00,0,8,2,0.25,26,13,3.3,0,40.6,10.5,22,4,0,0,0,0,0,3,1,0.25
2022_01_IND_HOU,202209110htx,2022,1,REG,IND,HOU,Kwity Paye,PayeKw00,0,1,1,1,5,5,5,0,87.5,-3,-3,8,0,0,0,2,2,7,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,IND,HOU,Nick Cross,CrosNi00,0,1,1,1,5,5,5,0,87.5,4,4,1,2,1,0,0,1,4,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,IND,HOU,E.J. Speed,SpeeEJ00,0,1,1,1,6,6,6,0,91.7,3,3,3,4,0,0,1,1,7,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,IND,HOU,DeForest Buckner,BuckDe00,0,0,0,,,,,,,,,,0,2,0,0,2,4,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,IND,HOU,Grover Stewart,StewGr00,0,0,0,,,,,,,,,,0,0,1,0,1,5,0,0
2022_01_IND_HOU,202209110htx,2022,1,REG,IND,HOU,Ifeadi Odenigbo,OdenIf00,0,0,0,,,,,,,,,,0,0,1,0,1,0,0,
